epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,104.946,0.71664,0.52355,0.80862,0.9675,0.75,0.74584,0.43069,1.72482,0.69331,1.06372,0.0002279,0.0002279,0.0002279
181,105.467,0.66856,0.59574,0.79985,0.9675,0.75,0.74584,0.43069,1.72482,0.69331,1.06372,0.000218,0.000218,0.000218
182,106.037,0.71847,0.53384,0.78962,0.96898,0.75,0.74584,0.43069,1.71359,0.68208,1.05819,0.0002081,0.0002081,0.0002081
183,106.572,0.71105,0.51867,0.80114,0.97068,0.75,0.74584,0.43069,1.67691,0.71285,1.05494,0.0001982,0.0001982,0.0001982
184,107.145,0.67971,0.53439,0.81776,0.97207,0.75,0.74584,0.39767,1.69264,0.67918,1.05756,0.0001883,0.0001883,0.0001883
185,107.673,0.63676,0.51629,0.80068,0.97207,0.75,0.74584,0.39767,1.69264,0.67918,1.05756,0.0001784,0.0001784,0.0001784
186,108.241,0.71459,0.5474,0.79507,0.97203,0.75,0.74583,0.39766,1.66835,0.67277,1.05677,0.0001685,0.0001685,0.0001685
187,108.809,0.73766,0.59164,0.80626,0.97206,0.75,0.74584,0.39766,1.68648,0.70242,1.06017,0.0001586,0.0001586,0.0001586
188,109.385,0.78992,0.57858,0.79936,0.97113,0.75,0.74585,0.39767,1.72877,0.69275,1.06096,0.0001487,0.0001487,0.0001487
189,109.929,0.65113,0.6118,0.81681,0.97113,0.75,0.74585,0.39767,1.72877,0.69275,1.06096,0.0001388,0.0001388,0.0001388
190,110.489,0.69448,0.53345,0.80984,0.97017,0.75,0.74584,0.39766,1.73795,0.70156,1.06114,0.0001289,0.0001289,0.0001289
191,114.973,0.701,0.58878,0.8063,0.9692,0.75,0.74582,0.39765,1.74428,0.71913,1.06295,0.000119,0.000119,0.000119
192,115.557,0.63593,0.56879,0.78911,0.96855,0.75,0.74583,0.39766,1.76553,0.73905,1.06328,0.0001091,0.0001091,0.0001091
193,116.117,0.67126,0.59552,0.82514,0.96855,0.75,0.74583,0.39766,1.76553,0.73905,1.06328,9.92e-05,9.92e-05,9.92e-05
194,116.694,0.68805,0.6314,0.74379,0.96982,0.75,0.74587,0.39769,1.76765,0.74613,1.06218,8.93e-05,8.93e-05,8.93e-05
