epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,28.0366,1.28324,1.34846,0.8966,0.66202,0.75,0.68283,0.30393,2.33429,1.75933,1.1865,0.0015842,0.0015842,0.0015842
44,28.6266,1.27273,1.38164,0.89758,0.6886,0.75,0.68283,0.3845,2.00688,1.69198,1.15891,0.0015743,0.0015743,0.0015743
45,29.1815,1.29986,1.29486,0.90446,0.6886,0.75,0.68283,0.3845,2.00688,1.69198,1.15891,0.0015644,0.0015644,0.0015644
46,29.7717,1.39134,1.32658,0.92269,0.8016,0.75,0.74533,0.38086,2.19327,1.62484,1.1855,0.0015545,0.0015545,0.0015545
47,30.3618,1.46191,1.28073,0.8899,0.69303,0.75,0.68283,0.32271,2.03729,1.55471,1.17625,0.0015446,0.0015446,0.0015446
48,30.9649,1.18105,1.15947,0.86287,0.72709,0.75,0.68283,0.32858,1.75547,1.5834,1.18512,0.0015347,0.0015347,0.0015347
49,31.5404,1.46261,1.30385,0.87267,0.72709,0.75,0.68283,0.32858,1.75547,1.5834,1.18512,0.0015248,0.0015248,0.0015248
50,32.1557,1.39093,1.16462,0.91012,0.71205,0.75,0.68283,0.32858,1.68007,1.41727,1.18548,0.0015149,0.0015149,0.0015149
51,32.7367,1.27337,1.36084,0.88034,0.7356,0.70681,0.68283,0.335,1.98475,1.35834,1.21352,0.001505,0.001505,0.001505
52,33.3064,1.3234,1.19537,0.89055,0.54446,0.61114,0.56199,0.26104,2.07193,1.57173,1.2241,0.0014951,0.0014951,0.0014951
53,33.8658,1.27449,1.29513,0.89241,0.54446,0.61114,0.56199,0.26104,2.07193,1.57173,1.2241,0.0014852,0.0014852,0.0014852
54,34.429,1.19285,1.25439,0.8884,0.53486,0.58714,0.56199,0.23632,2.07465,1.58524,1.21141,0.0014753,0.0014753,0.0014753
55,35.093,1.29895,1.19251,0.91161,1,0.45735,0.64533,0.29331,2.12813,1.47552,1.17093,0.0014654,0.0014654,0.0014654
56,35.6526,1.30132,1.24469,0.86806,0.72263,0.75,0.68283,0.35369,1.95496,1.23618,1.14582,0.0014555,0.0014555,0.0014555
57,36.1997,1.3571,1.19765,0.84048,0.72263,0.75,0.68283,0.35369,1.95496,1.23618,1.14582,0.0014456,0.0014456,0.0014456
58,36.7493,1.31737,1.21041,0.87485,1,0.71777,0.74533,0.37224,1.83416,1.13331,1.13319,0.0014357,0.0014357,0.0014357
59,37.3103,1.24012,1.20096,0.83632,0.94594,0.75,0.74533,0.36802,1.75838,1.11732,1.12332,0.0014258,0.0014258,0.0014258
60,37.8925,1.33172,1.18895,0.84639,0.95593,0.75,0.74533,0.3765,1.87393,1.07781,1.12602,0.0014159,0.0014159,0.0014159
61,38.4212,1.13986,1.2396,0.87546,0.95593,0.75,0.74533,0.3765,1.87393,1.07781,1.12602,0.001406,0.001406,0.001406
62,38.9944,1.17687,1.23634,0.8753,0.95202,0.75,0.74533,0.40571,1.96554,1.04332,1.12201,0.0013961,0.0013961,0.0013961
63,39.5652,1.27917,1.09567,0.89647,0.95156,0.75,0.74533,0.45103,1.55805,0.92508,1.07309,0.0013862,0.0013862,0.0013862
64,40.1325,1.18821,1.00744,0.88239,0.9663,0.75,0.74533,0.44695,1.47164,0.93041,1.06502,0.0013763,0.0013763,0.0013763
65,40.6687,1.12285,1.01382,0.85548,0.9663,0.75,0.74533,0.44695,1.47164,0.93041,1.06502,0.0013664,0.0013664,0.0013664
66,41.2214,1.14404,1.01282,0.83011,0.96333,0.75,0.74534,0.45948,1.66517,0.9583,1.06756,0.0013565,0.0013565,0.0013565
67,41.7665,1.07289,0.9908,0.87562,0.95893,0.75,0.74534,0.46332,1.43224,0.90408,1.07326,0.0013466,0.0013466,0.0013466
68,42.3343,1.09771,0.97024,0.81029,0.95521,0.75,0.74535,0.44696,1.48054,0.82445,1.09274,0.0013367,0.0013367,0.0013367
69,42.8743,1.18495,0.98752,0.85339,0.95521,0.75,0.74535,0.44696,1.48054,0.82445,1.09274,0.0013268,0.0013268,0.0013268
70,43.4375,1.04146,0.96886,0.85973,0.94382,0.75,0.74535,0.38063,1.63941,0.90763,1.09843,0.0013169,0.0013169,0.0013169
